Country	Role Group	Name	Email
United Kingdom	Prime Minister	The Rt Hon Sir Keir Starmer KCB KC MP	Use PM Office contact form: https://contact.no10.gov.uk/ (no public inbox published)
United Kingdom	Prime Minister	Sir Keir Starmer	keir.starmer.mp@parliament.uk
United Kingdom	Foreign Ministry	The Rt Hon Yvette Cooper MP	coopery@parliament.uk (ministerial correspondence can also be sent via fcdo.correspondence@fcdo.gov.uk)
United Kingdom	Foreign Ministry	Foreign, Commonwealth & Development Office (FCDO)	fcdo.correspondence@fcdo.gov.uk
United Kingdom	Diplomatic protocol / diplomats	Protocol Directorate, FCDO	Protocol.Enquiries@fcdo.gov.uk
United Kingdom	Foreign Ministry	FCDO Newsdesk	newsdesk@fcdo.gov.uk
United Kingdom	Prime Minister advisors	Cabinet Office	publiccorrespondence@cabinetoffice.gov.uk
United Kingdom	Parliament	Jack Abbott	jack.abbott.mp@parliament.uk
United Kingdom	Parliament	Ms Diane Abbott	diane.abbott.office@parliament.uk
United Kingdom	Parliament	Debbie Abrahams	abrahamsd@parliament.uk
United Kingdom	Parliament	Shockat Adam	shockat.adam.mp@parliament.uk
United Kingdom	Parliament	Dr Zubir Ahmed	zubir.ahmed.mp@parliament.uk
United Kingdom	Parliament	Luke Akehurst	luke.akehurst.mp@parliament.uk
United Kingdom	Parliament	Mr Bayo Alaba	bayo.alaba.mp@parliament.uk
United Kingdom	Parliament	Dan Aldridge	daniel.aldridge.mp@parliament.uk
United Kingdom	Parliament	Heidi Alexander	heidi.alexander.mp@parliament.uk
United Kingdom	Parliament	Mr Douglas Alexander	douglas.alexander.mp@parliament.uk
United Kingdom	Parliament	Sadik Al-Hassan	sadik.alhassan.mp@parliament.uk
United Kingdom	Parliament	Rushanara Ali	rushanara.ali.mp@parliament.uk
United Kingdom	Parliament	Tahir Ali	tahir.ali.mp@parliament.uk
United Kingdom	Parliament	Dr Rosena Allin-Khan	rosena.allinkhan.mp@parliament.uk
United Kingdom	Parliament	Jim Allister	jim.allister.mp@parliament.uk
United Kingdom	Parliament	Gideon Amos	gideon.amos.mp@parliament.uk
United Kingdom	Parliament	Callum Anderson	callum.anderson.mp@parliament.uk
United Kingdom	Parliament	Fleur Anderson	fleur.anderson.mp@parliament.uk
United Kingdom	Parliament	Lee Anderson	lee.anderson.mp@parliament.uk
United Kingdom	Parliament	Stuart Anderson	stuart.anderson.mp@parliament.uk
United Kingdom	Parliament	Stuart Andrew	stuart.andrew.mp@parliament.uk
United Kingdom	Parliament	Tonia Antoniazzi	tonia.antoniazzi.mp@parliament.uk
United Kingdom	Parliament	Steff Aquarone	steff.aquarone.mp@parliament.uk
United Kingdom	Parliament	Edward Argar	edward.argar.mp@parliament.uk
United Kingdom	Parliament	Dr Scott Arthur	scott.arthur.mp@parliament.uk
United Kingdom	Parliament	Jess Asato	jess.asato.mp@parliament.uk
United Kingdom	Parliament	James Asser	james.asser.mp@parliament.uk
United Kingdom	Parliament	Jas Athwal	jas.athwal.mp@parliament.uk
United Kingdom	Parliament	Victoria Atkins	0
United Kingdom	Parliament	Catherine Atkinson	catherine.atkinson.mp@parliament.uk
United Kingdom	Parliament	Lewis Atkinson	lewis.atkinson.mp@parliament.uk
United Kingdom	Parliament	Josh Babarinde	josh.babarinde.mp@parliament.uk
United Kingdom	Parliament	Gareth Bacon	gareth.bacon.mp@parliament.uk
United Kingdom	Parliament	Mrs Kemi Badenoch	kemi.badenoch.mp@parliament.uk
United Kingdom	Parliament	Mr Calvin Bailey	calvin.bailey.mp@parliament.uk
United Kingdom	Parliament	Olivia Bailey	olivia.bailey.mp@parliament.uk
United Kingdom	Parliament	David Baines	david.baines.mp@parliament.uk
United Kingdom	Parliament	Alex Baker	alex.baker.mp@parliament.uk
United Kingdom	Parliament	Richard Baker	richard.baker.mp@parliament.uk
United Kingdom	Parliament	Dame Harriett Baldwin	harriett.baldwin.mp@parliament.uk
United Kingdom	Parliament	Alex Ballinger	alex.ballinger.mp@parliament.uk
United Kingdom	Parliament	Antonia Bance	antonia.bance.mp@parliament.uk
United Kingdom	Parliament	Steve Barclay	stephen.barclay.mp@parliament.uk
United Kingdom	Parliament	Paula Barker	paula.barker.mp@parliament.uk
United Kingdom	Parliament	Lee Barron	lee.barron.mp@parliament.uk
United Kingdom	Parliament	Mr Alex Barros-Curtis	alex.barroscurtis.mp@parliament.uk
United Kingdom	Parliament	Johanna Baxter	johanna.baxter.mp@parliament.uk
United Kingdom	Parliament	Danny Beales	danny.beales.mp@parliament.uk
United Kingdom	Parliament	Lorraine Beavers	lorraine.beavers.mp@parliament.uk
United Kingdom	Parliament	Mr Peter Bedford	peter.bedford.mp@parliament.uk
United Kingdom	Parliament	Órfhlaith Begley	0
United Kingdom	Parliament	Apsana Begum	apsana.begum.mp@parliament.uk
United Kingdom	Parliament	Torsten Bell	torsten.bell.mp@parliament.uk
United Kingdom	Parliament	Hilary Benn	bennh@parliament.uk
United Kingdom	Parliament	Alison Bennett	alison.bennett.mp@parliament.uk
United Kingdom	Parliament	Siân Berry	sian.berry.mp@parliament.uk
United Kingdom	Parliament	Mr Clive Betts	officeofclivebettsmp@parliament.uk
United Kingdom	Parliament	Saqib Bhatti	saqib.bhatti@parliament.uk
United Kingdom	Parliament	Ms Polly Billington	polly.billington.mp@parliament.uk
United Kingdom	Parliament	Matt Bishop	matt.bishop.mp@parliament.uk
United Kingdom	Parliament	Bob Blackman	bob.blackman.mp@parliament.uk
United Kingdom	Parliament	Kirsty Blackman	kirsty.blackman.mp@parliament.uk
United Kingdom	Parliament	Olivia Blake	olivia.blake.mp@parliament.uk
United Kingdom	Parliament	Rachel Blake	rachel.blake.mp@parliament.uk
United Kingdom	Parliament	Chris Bloore	chris.bloore.mp@parliament.uk
United Kingdom	Parliament	Mrs Elsie Blundell	elsie.blundell.mp@parliament.uk
United Kingdom	Parliament	Kevin Bonavia	kevin.bonavia.mp@parliament.uk
United Kingdom	Parliament	Sarah Bool	sarah.bool.mp@parliament.uk
United Kingdom	Parliament	Jade Botterill	jade.botterill.mp@parliament.uk
United Kingdom	Parliament	Andrew Bowie	andrew.bowie.mp@parliament.uk
United Kingdom	Parliament	Mrs Sureena Brackenridge	sureena.brackenridge.mp@parliament.uk
United Kingdom	Parliament	Dame Karen Bradley	karen.bradley.mp@parliament.uk
United Kingdom	Parliament	Aphra Brandreth	aphra.brandreth.mp@parliament.uk
United Kingdom	Parliament	Mr Jonathan Brash	jonathan.brash.mp@parliament.uk
United Kingdom	Parliament	Suella Braverman	suella.braverman.mp@parliament.uk
United Kingdom	Parliament	Alex Brewer	alex.brewer.mp@parliament.uk
United Kingdom	Parliament	Phil Brickell	phil.brickell.mp@parliament.uk
United Kingdom	Parliament	Jess Brown-Fuller	jess.brownfuller.mp@parliament.uk
United Kingdom	Parliament	Chris Bryant	chris.bryant.mp@parliament.uk
United Kingdom	Parliament	Julia Buckley	julia.buckley.mp@parliament.uk
United Kingdom	Parliament	Alex Burghart	alex.burghart.mp@parliament.uk
United Kingdom	Parliament	Richard Burgon	0
United Kingdom	Parliament	Maureen Burke	maureen.burke.mp@parliament.uk
United Kingdom	Parliament	David Burton-Sampson	david.burtonsampson.mp@parliament.uk
United Kingdom	Parliament	Dawn Butler	dawn.butler.mp@parliament.uk
United Kingdom	Parliament	Ian Byrne	ian.byrne.mp@parliament.uk
United Kingdom	Parliament	Liam Byrne	liam.byrne.mp@parliament.uk
United Kingdom	Parliament	Ruth Cadbury	ruthcadburymp@parliament.uk
United Kingdom	Parliament	Nesil Caliskan	nesil.caliskan.mp@parliament.uk
United Kingdom	Parliament	Irene Campbell	irene.campbell.mp@parliament.uk
United Kingdom	Parliament	Juliet Campbell	juliet.campbell.mp@parliament.uk
United Kingdom	Parliament	Mr Gregory Campbell	aaron.callan@parliament.uk
United Kingdom	Parliament	Sir Alan Campbell	alan.campbell.mp@parliament.uk
United Kingdom	Parliament	Markus Campbell-Savours	markus.campbellsavours.mp@parliament.uk
United Kingdom	Parliament	Charlotte Cane	charlotte.cane.mp@parliament.uk
United Kingdom	Parliament	Dan Carden	dan.carden.mp@parliament.uk
United Kingdom	Parliament	Sam Carling	sam.carling.mp@parliament.uk
United Kingdom	Parliament	Mr Alistair Carmichael	carmichaela@parliament.uk
United Kingdom	Parliament	Al Carns	al.carns.mp@parliament.uk
United Kingdom	Parliament	James Cartlidge	james.cartlidge.mp@parliament.uk
United Kingdom	Parliament	David Chadwick	david.chadwick.mp@parliament.uk
United Kingdom	Parliament	Wendy Chamberlain	wendy.chamberlain.mp@parliament.uk
United Kingdom	Parliament	Dr Danny Chambers	danny.chambers.mp@parliament.uk
United Kingdom	Parliament	Sarah Champion	sarah.champion.mp@parliament.uk
United Kingdom	Parliament	Bambos Charalambous	bambos.charalambous.mp@parliament.uk
United Kingdom	Parliament	Mr Luke Charters	luke.charters.mp@parliament.uk
United Kingdom	Parliament	Sir Christopher Chope	chopec@parliament.uk
United Kingdom	Parliament	Dr Ellie Chowns	ellie.chowns.mp@parliament.uk
United Kingdom	Parliament	Feryal Clark	feryal.clark.mp@parliament.uk
United Kingdom	Parliament	Sir James Cleverly	james.cleverly.mp@parliament.uk
United Kingdom	Parliament	Sir Geoffrey Clifton-Brown	cliftonbrowng@parliament.uk
United Kingdom	Parliament	Lewis Cocking	lewis.cocking.mp@parliament.uk
United Kingdom	Parliament	Chris Coghlan	chris.coghlan.mp@parliament.uk
United Kingdom	Parliament	Ben Coleman	ben.coleman.mp@parliament.uk
United Kingdom	Parliament	Jacob Collier	jacob.collier.mp@parliament.uk
United Kingdom	Parliament	Lizzi Collinge	lizzi.collinge.mp@parliament.uk
United Kingdom	Parliament	Tom Collins	tom.collins.mp@parliament.uk
United Kingdom	Parliament	Victoria Collins	victoria.collins.mp@parliament.uk
United Kingdom	Parliament	Liam Conlon	liam.conlon.mp@parliament.uk
United Kingdom	Parliament	Sarah Coombes	sarah.coombes.mp@parliament.uk
United Kingdom	Parliament	Andrew Cooper	andrew.cooper.mp@parliament.uk
United Kingdom	Parliament	Daisy Cooper	daisy.cooper.mp@parliament.uk
United Kingdom	Parliament	Dr Beccy Cooper	beccy.cooper.mp@parliament.uk
United Kingdom	Parliament	John Cooper	john.cooper.mp@parliament.uk
United Kingdom	Parliament	Yvette Cooper	coopery@parliament.uk
United Kingdom	Parliament	Jeremy Corbyn	jeremy.corbyn.mp@parliament.uk
United Kingdom	Parliament	Alberto Costa	alberto.costa.mp@parliament.uk
United Kingdom	Parliament	Deirdre Costigan	deirdre.costigan.mp@parliament.uk
United Kingdom	Parliament	Claire Coutinho	claire.coutinho.mp@parliament.uk
United Kingdom	Parliament	Pam Cox	pam.cox.mp@parliament.uk
United Kingdom	Parliament	Sir Geoffrey Cox	coxg@parliament.uk
United Kingdom	Parliament	Neil Coyle	neil.coyle.mp@parliament.uk
United Kingdom	Parliament	Jen Craft	jen.craft.mp@parliament.uk
United Kingdom	Parliament	Mary Creagh	mary.creagh.mp@parliament.uk
United Kingdom	Parliament	Ms Stella Creasy	stella.creasy.mp@parliament.uk
United Kingdom	Parliament	Torcuil Crichton	torcuil.crichton.mp@parliament.uk
United Kingdom	Parliament	Harriet Cross	harriet.cross.mp@parliament.uk
United Kingdom	Parliament	Pat Cullen	pat.cullen.mp@parliament.uk
United Kingdom	Parliament	Judith Cummins	judith.cummins.mp@parliament.uk
United Kingdom	Parliament	Chris Curtis	chris.curtis.mp@parliament.uk
United Kingdom	Parliament	Janet Daby	janet.daby.mp@parliament.uk
United Kingdom	Parliament	Sir Nicholas Dakin	nic.dakin.mp@parliament.uk
United Kingdom	Parliament	Ashley Dalton	ashley.dalton.mp@parliament.uk
United Kingdom	Parliament	Adam Dance	adam.dance.mp@parliament.uk
United Kingdom	Parliament	Steve Darling	steve.darling.mp@parliament.uk
United Kingdom	Parliament	Emily Darlington	emily.darlington.mp@parliament.uk
United Kingdom	Parliament	Ed Davey	edward.davey.mp@parliament.uk
United Kingdom	Parliament	Ann Davies	ann.davies.mp@parliament.uk
United Kingdom	Parliament	Gareth Davies	gareth.davies.mp@parliament.uk
United Kingdom	Parliament	Jonathan Davies	jonathan.davies.mp@parliament.uk
United Kingdom	Parliament	Mims Davies	mims.davies.mp@parliament.uk
United Kingdom	Parliament	Paul Davies	paul.davies.mp@parliament.uk
United Kingdom	Parliament	Shaun Davies	shaun.davies.mp@parliament.uk
United Kingdom	Parliament	Alex Davies-Jones	alex.daviesjones.mp@parliament.uk
United Kingdom	Parliament	David Davis	david.davis.mp@parliament.uk
United Kingdom	Parliament	Marsha De Cordova	marsha.decordova.mp@parliament.uk
United Kingdom	Parliament	Bobby Dean	bobby.dean.mp@parliament.uk
United Kingdom	Parliament	Josh Dean	josh.dean.mp@parliament.uk
United Kingdom	Parliament	Kate Dearden	kate.dearden.mp@parliament.uk
United Kingdom	Parliament	Carla Denyer	carla.denyer.mp@parliament.uk
United Kingdom	Parliament	Charlie Dewhirst	charlie.dewhirst.mp@parliament.uk
United Kingdom	Parliament	Mr Tanmanjeet Singh Dhesi	tan.dhesi.mp@parliament.uk
United Kingdom	Parliament	Jim Dickson	jim.dickson.mp@parliament.uk
United Kingdom	Parliament	Mr Lee Dillon	lee.dillon.mp@parliament.uk
United Kingdom	Parliament	Dame Caroline Dinenage	caroline.dinenage.mp@parliament.uk
United Kingdom	Parliament	Anna Dixon	anna.dixon.mp@parliament.uk
United Kingdom	Parliament	Samantha Dixon	Samantha.dixon.mp@parliament.uk
United Kingdom	Parliament	Anneliese Dodds	anneliese.dodds.mp@parliament.uk
United Kingdom	Parliament	Helena Dollimore	helena.dollimore.mp@parliament.uk
United Kingdom	Parliament	Dave Doogan	dave.doogan.mp@parliament.uk
United Kingdom	Parliament	Stephen Doughty	stephen.doughty.mp@parliament.uk
United Kingdom	Parliament	Peter Dowd	peter.dowd.mp@parliament.uk
United Kingdom	Parliament	Sir Oliver Dowden	oliver.dowden.mp@parliament.uk
United Kingdom	Parliament	Graeme Downie	graeme.downie.mp@parliament.uk
United Kingdom	Parliament	Rosie Duffield	rosie.duffield.mp@parliament.uk
United Kingdom	Parliament	Sir Iain Duncan Smith	Iain.duncansmith.mp@parliament.uk
United Kingdom	Parliament	Neil Duncan-Jordan	neil.duncanjordan.mp@parliament.uk
United Kingdom	Parliament	Sarah Dyke	sarah.dyke.mp@parliament.uk 
United Kingdom	Parliament	Dame Angela Eagle	eaglea@parliament.uk
United Kingdom	Parliament	Maria Eagle	maria.eagle.mp@parliament.uk
United Kingdom	Parliament	Alex Easton	alex.easton.mp@parliament.uk
United Kingdom	Parliament	Colum Eastwood	colum.eastwood.mp@parliament.uk
United Kingdom	Parliament	Sorcha Eastwood	sorcha.eastwood.mp@parliament.uk
United Kingdom	Parliament	Cat Eccles	cat.eccles.mp@parliament.uk
United Kingdom	Parliament	Lauren Edwards	lauren.edwards.mp@parliament.uk
United Kingdom	Parliament	Sarah Edwards	sarah.edwards.mp@parliament.uk
United Kingdom	Parliament	Clive Efford	clive.efford.mp@parliament.uk
United Kingdom	Parliament	Damien Egan	damien.egan.mp@parliament.uk
United Kingdom	Parliament	Maya Ellis	maya.ellis.mp@parliament.uk
United Kingdom	Parliament	Chris Elmore	Chris.Elmore.mp@parliament.uk
United Kingdom	Parliament	Kirith Entwistle	kirith.entwistle.mp@parliament.uk
United Kingdom	Parliament	Florence Eshalomi	florence.eshalomi.mp@parliament.uk
United Kingdom	Parliament	Bill Esterson	bill.esterson.mp@parliament.uk
United Kingdom	Parliament	Chris Evans	chris.evans.mp@parliament.uk
United Kingdom	Parliament	Dr Luke Evans	luke.evans.mp@parliament.uk
United Kingdom	Parliament	Miatta Fahnbulleh	miatta.fahnbulleh.mp@parliament.uk
United Kingdom	Parliament	Mr Hamish Falconer	hamish.falconer.mp@parliament.uk
United Kingdom	Parliament	Nigel Farage	nigel.farage.mp@parliament.uk
United Kingdom	Parliament	Linsey Farnsworth	linsey.farnsworth.mp@parliament.uk
United Kingdom	Parliament	Tim Farron	tim.farron.mp@parliament.uk
United Kingdom	Parliament	Josh Fenton-Glynn	josh.fentonglynn.mp@parliament.uk
United Kingdom	Parliament	Mark Ferguson	mark.ferguson.mp@parliament.uk
United Kingdom	Parliament	Patricia Ferguson	patricia.ferguson.mp@parliament.uk
United Kingdom	Parliament	John Finucane	john.finucane.mp@parliament.uk
United Kingdom	Parliament	Natalie Fleet	natalie.fleet.mp@parliament.uk
United Kingdom	Parliament	Stephen Flynn	stephen.flynn.mp@parliament.uk
United Kingdom	Parliament	Emma Foody	emma.foody.mp@parliament.uk
United Kingdom	Parliament	Catherine Fookes	catherine.fookes.mp@parliament.uk
United Kingdom	Parliament	Richard Foord	richard.foord.mp@parliament.uk
United Kingdom	Parliament	Mr Will Forster	will.forster.mp@parliament.uk
United Kingdom	Parliament	Peter Fortune	peter.fortune.mp@parliament.uk
United Kingdom	Parliament	Mr Paul Foster	paul.foster.mp@parliament.uk
United Kingdom	Parliament	Sir Ashley Fox	ashley.fox.mp@parliament.uk
United Kingdom	Parliament	Vicky Foxcroft	vicky.foxcroft.mp@parliament.uk
United Kingdom	Parliament	Mary Kelly Foy	mary.foy.mp@parliament.uk
United Kingdom	Parliament	Daniel Francis	daniel.francis.mp@parliament.uk
United Kingdom	Parliament	Mr Mark Francois	mark.francois.mp@parliament.uk
United Kingdom	Parliament	Zöe Franklin	zoe.franklin.mp@parliament.uk
United Kingdom	Parliament	George Freeman	george.freeman.mp@parliament.uk
United Kingdom	Parliament	Mr Louie French	louie.french.mp@parliament.uk
United Kingdom	Parliament	Mr James Frith	james.frith.mp@parliament.uk
United Kingdom	Parliament	Richard Fuller	richard.fuller.mp@parliament.uk
United Kingdom	Parliament	Gill Furniss	gill.furniss.mp@parliament.uk
United Kingdom	Parliament	Sir Roger Gale	galerj@parliament.uk
United Kingdom	Parliament	Barry Gardiner	barry.gardiner.mp@parliament.uk
United Kingdom	Parliament	Dr Allison Gardner	allison.gardner.mp@parliament.uk
United Kingdom	Parliament	Mark Garnier	mark.garnier.mp@parliament.uk
United Kingdom	Parliament	Anna Gelderd	anna.gelderd.mp@parliament.uk
United Kingdom	Parliament	Alan Gemmell	alan.gemmell.mp@parliament.uk
United Kingdom	Parliament	Andrew George	andrew.george.mp@parliament.uk
United Kingdom	Parliament	Gill German	gill.german.mp@parliament.uk
United Kingdom	Parliament	Stephen Gethins	stephen.gethins.mp@parliament.uk
United Kingdom	Parliament	Ms Nusrat Ghani	nusrat.ghani.mp@parliament.uk
United Kingdom	Parliament	Sarah Gibson	sarah.gibson.mp@parliament.uk
United Kingdom	Parliament	Tracy Gilbert	tracy.gilbert.mp@parliament.uk
United Kingdom	Parliament	Preet Kaur Gill	preet.gill.mp@parliament.uk
United Kingdom	Parliament	Rachel Gilmour	rachel.gilmour.mp@parliament.uk
United Kingdom	Parliament	Becky Gittins	becky.gittins.mp@parliament.uk
United Kingdom	Parliament	John Glen	john.glen.mp@parliament.uk
United Kingdom	Parliament	Mary Glindon	mary.glindon.mp@parliament.uk
United Kingdom	Parliament	Olly Glover	olly.glover.mp@parliament.uk
United Kingdom	Parliament	Marie Goldman	marie.goldman.mp@parliament.uk
United Kingdom	Parliament	Ben Goldsborough	ben.goldsborough.mp@parliament.uk
United Kingdom	Parliament	Tom Gordon	tom.gordon.mp@parliament.uk
United Kingdom	Parliament	Jodie Gosling	jodie.gosling.mp@parliament.uk
United Kingdom	Parliament	Georgia Gould	georgia.gould.mp@parliament.uk
United Kingdom	Parliament	John Grady	john.grady.mp@parliament.uk
United Kingdom	Parliament	Helen Grant	helen.grant.mp@parliament.uk
United Kingdom	Parliament	Sarah Green	sarah.green.mp@parliament.uk
United Kingdom	Parliament	Lilian Greenwood	lilian.greenwood.mp@parliament.uk
United Kingdom	Parliament	Andrew Griffith	andrew.griffith.mp@parliament.uk
United Kingdom	Parliament	Dame Nia Griffith	nia.griffith.mp@parliament.uk
United Kingdom	Parliament	Alison Griffiths	alison.griffiths.mp@parliament.uk
